word	menukad	lex	unvocalized_lex	POS	Prefix	Gender	Number	Person	Status	Tense	Binyan	Suffix	Suf_Gender	Suf_Number	Suf_Person	fAramaic	no_pipe_menukad	no_prefix_menukad
,	,			PUNCTUATION												False	,	,
מושך	מוֹשֵׁךְ	משׁך	משׁך	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	מוֹשֵׁךְ	מוֹשֵׁךְ
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
ב|צמה	בְּ|צַמָּה	צַמָּה	צמה	NOUN	PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בְּצַמָּה	צַמָּה

ו|אומר	וְ|אוֹמֵר	אמר	אמר	VERB	CONJUNCTION	MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	וְאוֹמֵר	אוֹמֵר
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
ש|אני	שֶׁ|אֲנִי	אֲנִי	אני	PRONOUN	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINEFEMININE	SINGULAR	PERSON_1								False	שֶׁאֲנִי	אֲנִי
ילדה	יַלְדָּה	יַלְדָּה	ילדה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	יַלְדָּה	יַלְדָּה
קטנה	קְטַנָּה	קְטַן	קטן	ADJECTIVE		FEMININE	SINGULAR		ABSOLUTE							False	קְטַנָּה	קְטַנָּה

נתתי	נָתַתִּי	נתן	נתן	VERB		MASCULINEFEMININE	SINGULAR	PERSON_1		PAST	BINYAN_PAAL					False	נָתַתִּי	נָתַתִּי
לך	לְךָ	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	לְךָ	לְךָ
כמעט	כִּמְעַט	מְעַט	מעט	ADVERB												False	כִּמְעַט	כִּמְעַט
את	אֶת	אֶת	את	AT_PREP												False	אֶת	אֶת
כל	כׇּל	כֹּל	כול	QUANTIFIER					CONSTRUCT							False	כׇּל	כׇּל
ה|משחקים	הַ|מִּשְׂחָקִים	מִשְׂחָק	משחק	NOUN	DEFINITEARTICLE	MASCULINE	PLURAL		ABSOLUTE							False	הַמִּשְׂחָקִים	מִשְׂחָקִים

אבל	אֲבָל	אֲבָל	אבל	CONJUNCTION												False	אֲבָל	אֲבָל
אתה	אַתָּה	אֲנִי	אני	PRONOUN		MASCULINE	SINGULAR	PERSON_2								False	אַתָּה	אַתָּה
ו|איה	וְ|אַיֵּה	אַיֵּה	איה	INTERROGATIVE	CONJUNCTION											False	וְאַיֵּה	אַיֵּה
צוחקים	צוֹחֲקִים	צחק	צחק	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_PAAL					False	צוֹחֲקִים	צוֹחֲקִים

סימנים	סִימָנִים	סִימָן	סימן	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	סִימָנִים	סִימָנִים
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
אוהבים	אוֹהֲבִים	אוֹהֵב	אוהב	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	אוֹהֲבִים	אוֹהֲבִים
הם	הֵם	הוּא	הוא	COPULA		MASCULINE	PLURAL	PERSON_3								False	הֵם	הֵם
אור	אוֹר	אוֹר	אור	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	אוֹר	אוֹר
ו|צבע	וְ|צֶבַע	צֶבַע	צבע	NOUN	CONJUNCTION	MASCULINE	SINGULAR		ABSOLUTE							False	וְצֶבַע	צֶבַע

רק	רַק	רַק	רק	ADVERB												False	רַק	רַק
אתה	אַתָּה	אֲנִי	אני	PRONOUN		MASCULINE	SINGULAR	PERSON_2								False	אַתָּה	אַתָּה
הולך	הוֹלֵךְ	הלך	הלך	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	הוֹלֵךְ	הוֹלֵךְ
איתי	אִתִּי	אֵת	את	NOUN		MASCULINE	SINGULAR		ABSOLUTE			POSSESIVEPRONOUN	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	אִתִּי	אִתִּי
ב|דמיונות	בְּ|דִמְיוֹנוֹת	דִּמְיוֹן	דמיון	NOUN	PREPOSITION	MASCULINE	PLURAL		ABSOLUTE							False	בְּדִמְיוֹנוֹת	דִּמְיוֹנוֹת

סימנים	סִימָנִים	סִימָן	סימן	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	סִימָנִים	סִימָנִים
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
אוהבים	אוֹהֲבִים	אוֹהֵב	אוהב	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	אוֹהֲבִים	אוֹהֲבִים
הם	הֵם	הוּא	הוא	COPULA		MASCULINE	PLURAL	PERSON_3								False	הֵם	הֵם
צחוק	צְחוֹק	צְחוֹק	צחוק	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	צְחוֹק	צְחוֹק
ו|דמע	וְ|דֶמַע	דֶּמַע	דמע	NOUN	CONJUNCTION	MASCULINE	SINGULAR		ABSOLUTE							False	וְדֶמַע	דֶּמַע

ה|חוזרים	הַ|חוֹזְרִים	חזר	חזר	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_PAAL					False	הַחוֹזְרִים	חוֹזְרִים
אלי	אֵלַי	אֶל	אל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	אֵלַי	אֵלַי
תמיד	תָּמִיד	תָּמִיד	תמיד	ADVERB												False	תָּמִיד	תָּמִיד
ב|חלומות	בַּ|חֲלוֹמוֹת	חֲלוֹם	חלום	NOUN	PREPOSITION	MASCULINE	PLURAL		ABSOLUTE							False	בַּחֲלוֹמוֹת	חֲלוֹמוֹת

ב|שדה	בִּ|שְׂדֵה	שָׂדֶה	שדה	NOUN	PREPOSITION	MASCULINE	SINGULAR		CONSTRUCT							False	בִּשְׂדֵה	שְׂדֵה
ירוק	יָרֹק	יָרֹק	ירוק	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	יָרֹק	יָרֹק
ראיתי	רָאִיתִי	ראי	ראי	VERB		MASCULINEFEMININE	SINGULAR	PERSON_1		PAST	BINYAN_PAAL					False	רָאִיתִי	רָאִיתִי
את	אֶת	אֶת	את	AT_PREP												False	אֶת	אֶת
שניכם	שְׁנֵיכֶם	שְׁנַיִם	שניים	NUMERAL		MASCULINE	DUAL		ABSOLUTE			ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_PLURAL	SUF_PERSON_2	False	שְׁנֵיכֶם	שְׁנֵיכֶם

מחלקים	מְחַלְּקִים	חלק	חלק	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_PIEL					False	מְחַלְּקִים	מְחַלְּקִים
זר	זֵר	זֵר	זר	NOUN		MASCULINE	SINGULAR		CONSTRUCT							False	זֵר	זֵר
חמציצים	חַמְצִיצִים	חַמְצִיץ	חמציץ	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	חַמְצִיצִים	חַמְצִיצִים
ביניכם	בֵּינֵיכֶם	בֵּין	בין	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_PLURAL	SUF_PERSON_2	False	בֵּינֵיכֶם	בֵּינֵיכֶם

צוף	צוּף	צוּף	צוף	PROPERNAME		MASCULINE	SINGULAR									False	צוּף	צוּף
לך	לְךָ	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	לְךָ	לְךָ
ו|צוף	וְ|צוּף	צוּף	צוף	PROPERNAME	CONJUNCTION	MASCULINE	SINGULAR									False	וְצוּף	צוּף
גם	גַּם	גַּם	גם	ADVERB												False	גַּם	גַּם
לה	לָהּ	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	לָהּ	לָהּ
כ|פרפרים	כְּ|פַרְפָּרִים	פַּרְפַּר	פרפר	NOUN	PREPOSITION	MASCULINE	PLURAL		ABSOLUTE							False	כְּפַרְפָּרִים	פַּרְפָּרִים

אתם	אַתֶּם	אֲנִי	אני	PRONOUN		MASCULINE	PLURAL	PERSON_2								False	אַתֶּם	אַתֶּם
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
מתפזרים	מִתְפַּזְּרִים	פזר	פזר	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_HITPAEL					False	מִתְפַּזְּרִים	מִתְפַּזְּרִים
ל|כל	לְ|כׇל	כֹּל	כול	QUANTIFIER	PREPOSITION				CONSTRUCT							False	לְכׇל	כׇּל
ה|כיוונים	הַ|כִּוּוּנִים	כִּוּוּן	כיוון	NOUN	DEFINITEARTICLE	MASCULINE	PLURAL		ABSOLUTE							False	הַכִּוּוּנִים	כִּוּוּנִים

ו|משאירים	וּ|מַשְׁאִירִים	שׁאר	שׁאר	VERB	CONJUNCTION	MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	וּמַשְׁאִירִים	מַשְׁאִירִים
אותי	אוֹתִי	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	אוֹתִי	אוֹתִי
לבכות	לִבְכּוֹת	בכי	בכי	VERB						TOINFINITIVE	BINYAN_PAAL					False	לִבְכּוֹת	לִבְכּוֹת
שם	שָׁם	שָׁם	שם	ADVERB												False	שָׁם	שָׁם
ב|חצר	בֶּ|חָצֵר	חָצֵר	חצר	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בֶּחָצֵר	חָצֵר

עצובה	עֲצוּבָה	עָצוּב	עצוב	ADJECTIVE		FEMININE	SINGULAR		ABSOLUTE							False	עֲצוּבָה	עֲצוּבָה
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
ככה	כָּכָה	כָּכָה	ככה	ADVERB												False	כָּכָה	כָּכָה
,	,			PUNCTUATION												False	,	,
עם	עִם	עִם	עם	PREPOSITION												False	עִם	עִם
אחר	אַחֵר	אַחֵר	אחר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	אַחֵר	אַחֵר

סימנים	סִימָנִים	סִימָן	סימן	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	סִימָנִים	סִימָנִים
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
אוהבים	אוֹהֲבִים	אוֹהֵב	אוהב	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	אוֹהֲבִים	אוֹהֲבִים
...	...			PUNCTUATION												False	...	...

ב|יום	בְּ|יוֹם	יוֹם	יום	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בְּיוֹם	יוֹם
ראשון	רִאשׁוֹן	רִאשׁוֹן	ראשון	PROPERNAME												False	רִאשׁוֹן	רִאשׁוֹן
אמרת	אָמַרְתָּ	אמר	אמר	VERB		MASCULINE	SINGULAR	PERSON_2		PAST	BINYAN_PAAL					False	אָמַרְתָּ	אָמַרְתָּ
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
ב|יום	בְּ|יוֹם	יוֹם	יום	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בְּיוֹם	יוֹם
שני	שֵׁנִי	שְׁנַיִם	שניים	NUMERAL		MASCULINE	SINGULAR		ABSOLUTE							False	שֵׁנִי	שֵׁנִי

ב|יום	בְּ|יוֹם	יוֹם	יום	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בְּיוֹם	יוֹם
שני	שֵׁנִי	שְׁנַיִם	שניים	NUMERAL		MASCULINE	SINGULAR		ABSOLUTE							False	שֵׁנִי	שֵׁנִי
צחקת	צָחַקְתָּ	צחק	צחק	VERB		MASCULINE	SINGULAR	PERSON_2		PAST	BINYAN_PAAL					False	צָחַקְתָּ	צָחַקְתָּ
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
:	:			PUNCTUATION												False	:	:
""""	""""			PUNCTUATION												False	""""	""""
זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
לא	לֹא	לֹא	לא	NEGATION												False	לֹא	לֹא
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
""""	""""			PUNCTUATION												False	""""	""""

ב|יום	בְּ|יוֹם	יוֹם	יום	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בְּיוֹם	יוֹם
שלישי	שְׁלִישִׁי	שְׁלוֹשָׁה	שלושה	NUMERAL		MASCULINE	SINGULAR		ABSOLUTE							False	שְׁלִישִׁי	שְׁלִישִׁי
אמרת	אָמַרְתָּ	אמר	אמר	VERB		MASCULINE	SINGULAR	PERSON_2		PAST	BINYAN_PAAL					False	אָמַרְתָּ	אָמַרְתָּ
פעמיים	פַּעֲמַיִם	פַּעַם	פעם	ADVERB												False	פַּעֲמַיִם	פַּעֲמַיִם
טוב	טוֹב	טוֹב	טוב	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	טוֹב	טוֹב

ל|מחרת	לְ|מׇחֳרָת	מָחָר	מחר	ADVERB	PREPOSITION											False	לְמׇחֳרָת	מׇחֳרָת
כל	כׇּל			ADVERB												False	כׇּל	כׇּל
כך	כָּךְ			CONTINUE												False	כָּךְ	כָּךְ
הרבית	הִרְבֵּיתָ	רבי	רבי	VERB		MASCULINE	SINGULAR	PERSON_2		PAST	BINYAN_HIFIL					False	הִרְבֵּיתָ	הִרְבֵּיתָ
לחשוב	לַחֲשֹׁב	חשׁב	חשׁב	VERB						TOINFINITIVE	BINYAN_PAAL					False	לַחֲשֹׁב	לַחֲשֹׁב

ב|חמישי	בַּ|חֲמִישִׁי	חֲמִשָּׁה	חמישה	NUMERAL	DEFINITEARTICLE+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בַּחֲמִישִׁי	חֲמִישִׁי
וב|שישי	וּבַ|שִּׁשִּׁי	שִׁשָּׁה	שישה	NUMERAL	CONJUNCTION+DEFINITEARTICLE+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	וּבַשִּׁשִּׁי	שִׁשִּׁי
הבטחת	הַבְטָחַת	הַבְטָחָה	הבטחה	NOUN		FEMININE	SINGULAR		CONSTRUCT							False	הַבְטָחַת	הַבְטָחַת
לי	לִי	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	לִי	לִי
:	:			PUNCTUATION												False	:	:


""""	""""			PUNCTUATION												False	""""	""""
ב|יום	בְּ|יוֹם	יוֹם	יום	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בְּיוֹם	יוֹם
שבת	שַׁבָּת	שַׁבָּת	שבת	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	שַׁבָּת	שַׁבָּת
שוב	שׁוּב	שׁוּב	שוב	ADVERB												False	שׁוּב	שׁוּב
נטייל	נְטַיֵּל	טיל	טיל	VERB		MASCULINEFEMININE	PLURAL	PERSON_1		FUTURE	BINYAN_PIEL					False	נְטַיֵּל	נְטַיֵּל
ו|אל	וְ|אַל	אַל	אל	NEGATION	CONJUNCTION											False	וְאַל	אַל
תבכי	תִּבְכִּי	בכי	בכי	VERB		FEMININE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תִּבְכִּי	תִּבְכִּי
""""	""""			PUNCTUATION												False	""""	""""

סימנים	סִימָנִים	סִימָן	סימן	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	סִימָנִים	סִימָנִים
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
אוהבים	אוֹהֲבִים	אוֹהֵב	אוהב	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	אוֹהֲבִים	אוֹהֲבִים
...	...			PUNCTUATION												False	...	...



#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
שלך	שֶׁלָּךְ	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	שֶׁלָּךְ	שֶׁלָּךְ
עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
אתמול	אֶתְמוֹל	אֶתְמוֹל	אתמול	ADVERB												False	אֶתְמוֹל	אֶתְמוֹל
/	/			PUNCTUATION												False	/	/
גלי	גַּלִּי	גַּלִּי	גלי	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	גַּלִּי	גַּלִּי
עטרי	עָטָרִי	עָטָרִי	עטרי	PROPERNAME												False	עָטָרִי	עָטָרִי

אל	אַל	אַל	אל	NEGATION												False	אַל	אַל
תהסס	תְּהַסֵּס	הסס	הסס	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PIEL					False	תְּהַסֵּס	תְּהַסֵּס
אל	אַל	אַל	אל	NEGATION												False	אַל	אַל
תתרפס	תִּתְרַפֵּס	רפס	רפס	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_HITPAEL					False	תִּתְרַפֵּס	תִּתְרַפֵּס

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
ברור	בָּרוּר	בָּרוּר	ברור	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	בָּרוּר	בָּרוּר
כבר	כְּבָר	כְּבָר	כבר	ADVERB												False	כְּבָר	כְּבָר

אל	אַל	אַל	אל	NEGATION												False	אַל	אַל
תחכה	תְּחַכֶּה	חכי	חכי	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PIEL					False	תְּחַכֶּה	תְּחַכֶּה
ו|אל	וְ|אֶל	אֶל	אל	PREPOSITION	CONJUNCTION											False	וְאֶל	אֶל
תבכה	תִּבְכֶּה	בכי	בכי	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תִּבְכֶּה	תִּבְכֶּה

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
סגור	סָגוּר	סָגוּר	סגור	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	סָגוּר	סָגוּר
כבר	כְּבָר	כְּבָר	כבר	ADVERB												False	כְּבָר	כְּבָר

אל	אַל	אַל	אל	NEGATION												False	אַל	אַל
תתרגש	תִּתְרַגֵּשׁ	רגשׁ	רגשׁ	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_HITPAEL					False	תִּתְרַגֵּשׁ	תִּתְרַגֵּשׁ
אל	אַל	אַל	אל	NEGATION												False	אַל	אַל
תבקש	תְּבַקֵּשׁ	בקשׁ	בקשׁ	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PIEL					False	תְּבַקֵּשׁ	תְּבַקֵּשׁ

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
גמור	גָּמוּר	גָּמוּר	גמור	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	גָּמוּר	גָּמוּר
כבר	כְּבָר	כְּבָר	כבר	ADVERB												False	כְּבָר	כְּבָר

אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
יוצאת	יוֹצֵאת	יצא	יצא	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	יוֹצֵאת	יוֹצֵאת
מ|כאן	מִ|כָּאן	כָּאן	כאן	ADVERB	PREPOSITION											False	מִכָּאן	כָּאן
שלום	שָׁלוֹם	שָׁלוֹם	שלום	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	שָׁלוֹם	שָׁלוֹם
לך	לְךָ	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	לְךָ	לְךָ

רק	רַק	רַק	רק	CONJUNCTION												False	רַק	רַק
אל	אַל	אַל	אל	NEGATION												False	אַל	אַל
תפציר	תַּפְצִיר	פצר	פצר	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_HIFIL					False	תַּפְצִיר	תַּפְצִיר
בי	בִּי	בְּ	ב	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	בִּי	בִּי
לחכות	לְחַכּוֹת	חכי	חכי	VERB						TOINFINITIVE	BINYAN_PIEL					False	לְחַכּוֹת	לְחַכּוֹת
לך	לְךָ	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	לְךָ	לְךָ

ו|אל	וְ|אַל	אַל	אל	NEGATION	CONJUNCTION											False	וְאַל	אַל
תכריח	תַּכְרִיחַ	כרח	כרח	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_HIFIL					False	תַּכְרִיחַ	תַּכְרִיחַ
להכות	לְהַכּוֹת	נכי	נכי	VERB						TOINFINITIVE	BINYAN_HIFIL					False	לְהַכּוֹת	לְהַכּוֹת
בך	בְּךָ	בְּ	ב	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	בְּךָ	בְּךָ

אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
רוצה	רוֹצֶה	רצי	רצי	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	רוֹצֶה	רוֹצֶה
רק	רַק	רַק	רק	CONJUNCTION												False	רַק	רַק
לא	לֹא	לֹא	לא	NEGATION												False	לֹא	לֹא
לראות	לִרְאוֹת	ראי	ראי	VERB						TOINFINITIVE	BINYAN_PAAL					False	לִרְאוֹת	לִרְאוֹת
אותך	אוֹתְךָ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	אוֹתְךָ	אוֹתְךָ

שוב	שׁוּב	שׁוּב	שוב	ADVERB												False	שׁוּב	שׁוּב
אל	אֶל	אֶל	אל	PREPOSITION												False	אֶל	אֶל
עצמי	עַצְמִי	עֶצֶם	עצם	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	עַצְמִי	עַצְמִי
ה|אחרת	הָ|אַחֶרֶת	אַחֵר	אחר	ADJECTIVE	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הָאַחֶרֶת	אַחֶרֶת

שוב	שׁוּב	שׁוּב	שוב	ADVERB												False	שׁוּב	שׁוּב
אל	אֶל	אֶל	אל	PREPOSITION												False	אֶל	אֶל
ה|עיר	הָ|עִיר	עִיר	עיר	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הָעִיר	עִיר
ה|סוערת	הַ|סּוֹעֶרֶת	סוֹעֵר	סוער	ADJECTIVE	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַסּוֹעֶרֶת	סוֹעֶרֶת

רוח	רוּחַ	רוּחַ	רוח	NOUN		MASCULINEFEMININE	SINGULAR		ABSOLUTE							False	רוּחַ	רוּחַ
פרועה	פְּרוּעָה	פָּרוּעַ	פרוע	ADJECTIVE		FEMININE	SINGULAR		ABSOLUTE							False	פְּרוּעָה	פְּרוּעָה
מ|עוררת	מֵ|עוֹרֶרֶת	עוֹרֶרֶת	עוררת	NOUN	PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	מֵעוֹרֶרֶת	עוֹרֶרֶת

כל	כׇּל	כֹּל	כול	QUANTIFIER					CONSTRUCT							False	כׇּל	כׇּל
מה	מָה	מָה	מה	INTERROGATIVE												False	מָה	מָה
ש|נרדם	שֶׁ|נִּרְדַּם	רדם	רדם	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_NIFAL					False	שֶׁנִּרְדַּם	נִרְדַּם

חד	חַד	חַד	חד	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	חַד	חַד
ו|מהיר	וּ|מָהִיר	מָהִיר	מהיר	ADJECTIVE	CONJUNCTION	MASCULINE	SINGULAR		ABSOLUTE							False	וּמָהִיר	מָהִיר
זהו	זֶהוּ	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶהוּ	זֶהוּ
ה|שיר	הַ|שִּׁיר	שִׁיר	שיר	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַשִּׁיר	שִׁיר

ש|עובר	שֶׁ|עוֹבֵר	עבר	עבר	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	שֶׁעוֹבֵר	עוֹבֵר
בי	בִּי	בִּי	בי	PROPERNAME												False	בִּי	בִּי

בלי	בְּלִי	בְּלִי	בלי	PREPOSITION												False	בְּלִי	בְּלִי
להסביר	לְהַסְבִּיר	סבר	סבר	VERB						TOINFINITIVE	BINYAN_HIFIL					False	לְהַסְבִּיר	לְהַסְבִּיר
קר	קַר	קַר	קר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	קַר	קַר
ו|בהיר	וּ|בָהִיר	בָּהִיר	בהיר	ADJECTIVE	CONJUNCTION	MASCULINE	SINGULAR		ABSOLUTE							False	וּבָהִיר	בָּהִיר

הוא	הוּא	הוּא	הוא	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	הוּא	הוּא
דוהר	דּוֹהֵר	דהר	דהר	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	דּוֹהֵר	דּוֹהֵר
בי	בִּי	בְּ	ב	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	בִּי	בִּי

